2012,2014,2016,2018
,,,
N00035451,N00036633,N00036633,
N00003028,N00035451,N00035451,
N00009888,N00003028,N00003028,
N00025464,N00033997,N00033997,
N00031938,N00009888,N00009888,
N00031177,N00033720,N00033720,
N00000826,N00031938,N00031938,
N00030980,N00031177,N00031177,
N00027493,N00005293,N00038285,
N00008091,N00030980,N00005736,
N00004367,N00005736,N00037049,
N00033981,N00004367,N00042194,
N00025495,N00025495,N00004367,
N00031233,N00031233,N00037185,
N00006236,N00006236,N00025495,
N00026080,N00005656,N00031233,
N00005656,N00031877,N00037019,
N00031877,N00033904,N00006236,
N00004643,N00009774,N00005656,
N00033904,N00031934,N00031877,
N00009774,N00030608,N00033904,
N00029901,N00030717,N00009774,
N00031934,N00031559,N00030608,
N00030608,N00036018,N00030717,
N00033625,N00027462,N00039533,
N00030717,N00036449,N00031559,
N00031559,N00025292,N00036018,
N00027462,N00002674,N00039293,
N00025292,N00031539,N00027462,
N00002674,N00003105,N00036449,
N00025413,N00033744,N00025292,
N00031539,N00007727,N00002674,
N00003105,N00031685,N00031539,
N00007727,N00005195,N00003105,
N00031685,N00003675,N00033744,
N00005195,N00033474,N00007727,
N00003675,N00035267,N00031685,
N00033474,N00013873,N00005195,
N00025330,N00024866,N00033474,
N00035267,N00035420,N00035267,
N00013873,N00026595,N00013873,
N00024866,N00006692,N00024866,
N00026595,N00035307,N00035420,
N00006692,N00005883,N00035307,
N00005883,N00001619,N00005883,
N00001619,N00036013,N00001619,
N00027464,N00033532,N00036013,
N00036013,N00030910,N00033532,
N00033532,N00033495,N00030910,
N00030910,N00002713,N00033495,
N00033495,N00003535,N00036999,
N00028986,N00034254,N00003535,
N00002713,N00027626,N00034254,
N00003535,N00030829,N00027626,
N00034254,N00031227,N00030829,
N00027626,N00025219,N00031227,
N00031227,N00002221,N00039551,
N00025219,N00033390,N00025219,
N00002221,N00027035,N00002221,
N00033390,N00035380,N00033390,
N00027035,N00007099,N00027035,
N00035380,N00007836,N00035380,
N00007099,N00009771,N00007099,
N00008086,N00007232,N00007836,
N00027565,N00000267,N00009771,
N00013131,N00033373,N00000267,
N00007836,N00001955,N00037015,
N00009771,N00030736,N00033373,
N00007232,N00012508,N00001955,
N00000267,N00029513,N00012508,
N00033373,N00035346,N00029513,
N00001955,N00025095,N00035346,
N00030736,N00034128,N00025095,
N00012508,N00027503,N00034128,
N00029513,N00030245,N00027503,
N00025095,N00027514,N00030245,
N00034128,N00033316,N00027514,
N00027503,N00003689,N00033316,
N00030245,N00028958,N00003689,
N00027514,N00030600,N00028958,
N00033316,N00032019,N00035504,
N00003689,N00035278,N00030600,
N00028958,N00026961,N00032019,
N00002685,N00035854,N00035278,
N00000133,N00012460,N00026961,
N00030600,N00026790,N00012460,
N00032019,N00002408,N00026790,
N00035278,N00003845,N00041882,
N00026961,N00003328,N00002408,
N00035854,N00024753,N00003328,
N00012460,N00003225,N00024753,
N00026790,N00025726,N00003225,
N00002408,N00036158,N00025726,
N00003845,N00001285,N00036158,
N00002247,N00033518,N00001285,
N00005601,N00000491,N00033518,
N00003328,N00036023,N00000491,
N00024753,N00026041,N00038260,
N00003225,N00029891,N00036023,
N00025726,N00004029,N00026041,
N00001285,N00034224,N00029891,
N00033518,N00031820,N00004029,
N00000491,N00003132,N00034224,
N00026041,N00027441,N00031820,
N00029891,N00024852,N00003132,
N00004029,N00026341,N00027441,
N00034224,N00031064,N00024852,
N00031820,N00033363,N00037260,
N00003132,N00024842,N00026341,
N00027441,N00004614,N00031064,
N00024852,N00006267,N00033363,
N00026341,N00030770,N00024842,
N00033363,N00012739,N00004614,
N00024842,N00001127,N00006267,
N00004614,N00033085,N00030770,
N00006267,N00024978,N00002942,
N00030770,N00009738,N00001127,
N00012739,N00001971,N00033085,
N00001127,N00035403,N00024978,
N00033085,N00033054,N00009738,
N00024978,N00038767,N00001971,
N00009738,N00004884,N00035403,
N00001971,N00034784,N00041221,
N00033054,N00009604,N00033054,
N00004884,N00007781,N00038767,
N00034784,N00006134,N00004884,
N00009604,N00033897,N00034784,
N00007781,N00000615,N00009604,
N00006134,N00030693,N00007781,
N00033897,N00031593,N00006134,
N00000615,N00026171,N00033897,
N00030693,N00034746,N00000615,
N00031593,N00030709,N00030693,
N00026171,N00030957,N00033449,
N00034746,N00031317,N00031593,
N00030957,N00025337,N00026171,
N00031317,N00036149,N00034746,
N00025337,N00006023,N00030709,
N00001783,N00031103,N00030957,
N00006023,N00026586,N00031317,
N00026586,N00036928,N00025337,
N00001373,N00001373,N00036149,
N00027860,N00027860,N00006023,
N00030967,N00030967,N00026586,
N00030752,N00030752,N00036928,
N00003209,N00003209,N00001373,
N00004981,N00004981,N00027860,
N00028249,N00028249,N00030967,
N00028257,N00028257,N00030752,
N00031513,N00031513,N00003209,
N00005090,N00035440,N00037442,
N00001003,N00001003,N00004981,
N00034884,N00006249,N00028257,
N00006249,N00035483,N00035440,
N00007335,N00007335,N00001003,
N00033217,N00033217,N00006249,
N00007632,N00031672,N00035483,
N00031672,N00007312,N00007335,
N00007312,N00001746,N00034549,
N00001746,N00007364,N00040712,
N00007364,N00031141,N00033217,
N00031141,N00033443,N00038450,
N00033443,N00027229,N00031672,
N00027229,N00009573,N00037288,
N00009573,N00030815,N00007364,
N00030815,N00029679,N00039090,
N00029679,N00031545,N00033443,
N00031545,N00013799,N00038779,
N00013799,N00026631,N00009573,
N00026631,N00029139,N00030815,
N00029139,N00026166,N00031545,
N00026166,N00002893,N00026631,
N00002893,N00029016,N00029139,
N00029016,N00006423,N00026166,
N00006423,N00000684,N00002893,
N00000684,N00030490,N00029016,
N00030490,N00033281,N00006423,
N00033281,N00036097,N00000684,
N00033541,N00030856,N00030490,
N00030856,N00030780,N00033281,
N00029908,N00000743,N00039503,
N00030780,N00031128,N00039330,
N00000743,N00031998,N00036097,
N00025025,N00027658,N00030856,
N00031128,N00026148,N00030780,
N00031998,N00009154,N00038847,
N00027658,N00030771,N00040733,
N00024760,N00030880,N00031128,
N00026148,N00035688,N00027658,
N00009154,N00009975,N00026148,
N00030771,N00008799,N00040597,
N00030880,N00001758,N00037615,
N00009975,N00036135,N00038809,
N00008799,N00013323,N00009154,
N00001758,N00030788,N00030771,
N00013323,N00028418,N00036944,
N00030788,N00026686,N00030880,
N00028418,N00005870,N00009975,
N00026686,N00032029,N00008799,
N00005870,N00025284,N00001758,
N00031297,N00029400,N00036135,
N00032029,N00036409,N00013323,
N00025284,N00030801,N00030788,
N00031401,N00029675,N00026686,
N00029400,N00004874,N00005870,
N00029675,N00006806,N00032029,
N00004874,N00025881,N00025284,
N00029617,N00030197,N00029400,
N00006806,N00035628,N00036409,
N00005645,N00029632,N00029675,
N00025881,N00029147,N00004874,
N00030197,N00031005,N00025881,
N00004207,N00002884,N00035477,
N00029632,N00009869,N00029632,
N00029147,N00031557,N00029147,
N00031005,N00031244,N00036915,
N00002884,N00029835,N00031005,
N00009157,N00033782,N00038397,
N00009869,N00027522,N00002884,
N00031557,N00024922,N00009869,
N00031244,N00032243,N00031557,
N00029835,N00027060,N00029835,
N00033782,N00035792,N00033782,
N00027522,N00029070,N00027522,
N00024922,N00006008,N00024922,
N00027060,N00028139,N00040829,
N00029070,N00031688,N00032243,
N00006008,N00033399,N00027060,
N00028139,N00012611,N00039953,
N00031688,N00001821,N00035792,
N00033399,N00033630,N00029070,
N00000860,N00027649,N00028139,
N00012611,N00033030,N00031688,
N00033638,N00030673,N00033399,
N00001821,N00031104,N00038429,
N00033630,N00029258,N00001821,
N00027649,N00031417,N00033630,
N00033030,N00031265,N00033030,
N00030673,N00005582,N00030673,
N00031104,N00002593,N00031104,
N00029258,N00013345,N00029258,
N00031265,N00007017,N00031417,
N00005582,N00005818,N00043298,
N00002593,N00033640,N00005582,
N00013345,N00035531,N00002593,
N00007017,N00029077,N00007017,
N00005818,N00032088,N00005818,
N00033640,N00008122,N00038858,
N00029077,N00027848,N00033640,
N00029444,N00032546,N00035531,
N00032088,N00008028,N00029077,
N00008122,N00035717,N00032088,
N00027848,N00002299,N00008122,
N00032546,N00027894,N00027848,
N00008028,N00035007,N00039106,
N00010084,N00033177,N00032546,
N00035717,N00003522,N00008028,
N00002299,N00035934,N00042648,
N00027894,N00031933,N00024817,
N00035007,N00031647,N00002299,
N00033177,N00035215,N00027894,
N00003522,N00037003,N00035007,
N00031933,N00034044,N00033177,
N00031647,N00033395,N00003522,
N00035215,N00034453,N00035934,
N00034044,N00004403,N00031933,
N00000245,N00034580,N00031647,
N00033395,N00001193,N00035215,
N00034453,N00025237,N00037003,
N00004403,N00030667,N00034044,
N00034580,N00012539,N00026823,
N00001193,N00029260,N00026427,
N00025237,N00004436,N00033530,
N00002656,N00027500,N00033395,
N00030667,N00035820,N00034453,
N00012539,N00030875,N00004403,
N00029260,N00031377,N00034580,
N00004436,N00037031,N00001193,
N00027500,N00033987,N00025237,
N00030875,N00028133,N00030667,
N00031377,N00000898,N00027500,
N00033987,N00009724,N00035820,
N00028133,N00031129,N00033240,
N00000898,N00009759,N00030875,
N00005395,N00000575,N00025445,
N00009724,N00012233,N00006406,
N00031129,N00034068,N00031377,
N00009759,N00009918,N00037031,
N00000575,N00008046,N00033987,
N00004227,N00031696,N00041870,
N00012233,N00003950,N00028133,
N00000659,N00002577,N00000898,
N00009918,N00035825,N00009724,
N00008046,N00027239,N00031129,
N00031696,N00000851,N00009759,
N00001691,N00027741,N00000575,
N00003950,N00007479,N00012233,
N00002577,N00030676,N00034068,
N00027239,N00035347,N00030642,
N00000851,N00033842,N00009918,
N00027741,N00033274,N00008046,
N00007479,N00001024,N00031696,
N00030676,N00005559,N00042056,
N00033274,N00030026,N00003950,
N00001024,N00029562,N00038400,
N00005559,N00029788,N00002577,
N00030026,N00013855,N00035825,
N00029562,N00036155,N00027239,
N00029788,N00000078,N00000851,
N00013855,N00034277,N00027741,
N00027891,N00032838,N00007479,
N00000078,N00026710,N00030676,
N00034277,N00031777,N00035347,
N00032838,N00000270,N00033842,
N00026710,N00034041,N00033274,
N00031777,N00027459,N00001024,
N00000270,N00006424,N00005559,
N00034041,N00028152,N00030026,
N00009753,N00027694,N00029562,
N00027459,N00026460,N00013855,
N00035593,N00006863,N00036155,
N00006424,N00012942,N00000078,
N00001148,N00003389,N00034277,
N00028152,N00009829,N00032838,
N00027694,N00000179,N00026710,
N00026460,N00026627,N00031777,
N00006863,N00031681,N00000270,
N00012942,N00026926,N00037034,
N00003389,N00033982,N00034041,
N00009829,N00033631,N00037269,
N00000179,N00031134,N00037161,
N00026627,N00001171,N00027459,
N00002356,N00000699,N00006424,
N00006882,N00034547,N00028152,
N00031681,N00029303,N00027694,
N00033509,N00012546,N00026460,
N00026926,N00002793,N00006863,
N00033631,N00001945,N00012942,
N00031134,N00009795,N00003389,
N00001171,N00013846,N00039327,
N00000699,N00036275,N00000179,
N00034547,N00033814,N00026627,
N00029303,N00026914,N00031681,
N00012546,N00005282,N00026926,
N00002793,N00035431,N00033982,
N00024770,N00033410,N00033631,
N00001945,N00031412,N00031134,
N00009795,N00026050,N00001171,
N00006954,N00027566,N00000699,
N00007390,N00033091,N00034547,
N00013846,N00024992,N00029303,
N00026914,N00007876,N00012546,
N00005282,N00000939,N00036274,
N00002083,N00006789,N00036275,
N00033410,N00000153,N00033814,
N00031412,N00009926,N00026914,
N00026050,N00026043,N00005282,
N00027566,N00036403,N00043207,
N00033091,N00032022,N00035431,
N00024992,N00021207,N00033410,
N00007876,N00036154,N00031412,
N00000939,N00001692,N00026050,
N00006789,N00032441,N00027566,
N00000153,N00007248,N00040133,
N00009926,N00031006,N00024992,
N00026043,N00033540,N00007876,
N00032022,N00029285,N00000939,
N00021207,N00031958,N00006789,
N00036154,N00000781,N00000153,
N00001692,N00035691,N00009926,
N00032441,N00000751,N00036403,
N00007248,N00030836,N00032022,
N00031006,N00029391,N00021207,
N00033540,N00034639,N00036154,
N00029285,N00012672,N00027783,
N00031011,N00007360,N00001692,
N00031958,N00035516,N00007248,
N00000781,N00027510,N00037515,
N00000751,N00034120,N00033540,
N00006397,N00029277,N00029285,
N00030836,N00033591,N00031958,
N00029391,N00004558,N00000781,
N00034639,N00029168,N00035691,
N00012672,N00013817,N00038601,
N00007360,N00034416,N00000751,
N00027510,N00001633,N00030836,
N00034120,N00035000,N00029391,
N00029277,N00033549,N00034639,
N00033591,N00026457,N00012672,
N00004558,N00034584,N00007360,
N00004426,N00029127,N00035516,
N00029168,N00030744,N00027510,
N00013817,N00003682,N00034120,
N00034416,N00029662,N00029277,
N00001633,N00002260,N00033591,
N00033549,N00026160,N00004558,
N00026457,N00030581,N00013817,
N00029127,N00007635,N00034416,
N00030744,N00000964,N00035000,
N00003682,N00035972,N00033549,
N00029662,N00000362,N00026457,
N00002260,N00030949,N00034584,
N00026160,N00026885,N00029127,
N00013823,N00009922,N00030744,
N00030581,N00031127,N00003682,
N00034017,N00030968,N00029662,
N00002198,N00035927,N00002260,
N00000964,N00033832,N00026160,
N00000362,N00030184,N00030581,
N00030949,N00030962,N00007635,
N00026885,N00029441,N00037036,
N00009922,N00005285,N00035972,
N00031127,N00030768,N00000362,
N00030968,N00026314,N00030949,
N00033832,N00028463,N00026885,
N00030184,N00003473,N00031127,
N00030962,N00024759,N00035927,
N00029441,N00007151,N00033832,
N00005285,N00031741,N00030184,
N00030768,N00029018,N00029441,
N00001685,N00002858,N00005285,
N00026314,N00004719,N00030768,
N00028463,N00030645,N00038414,
N00003473,N00031253,N00026314,
N00009668,N00035187,N00028463,
N00024759,N00033527,N00003473,
N00007151,N00006671,N00024759,
N00031741,N00008264,N00007151,
N00029018,N00030612,N00031741,
N00002858,N00033510,N00040007,
N00004719,N00025482,N00029018,
N00030645,N00004887,N00002858,
N00031253,N00036175,N00038734,
N00006671,N00004357,N00004719,
N00008264,N00025280,N00030645,
N00030612,N00030418,N00031253,
N00033510,N00006446,N00035187,
N00031988,N00024870,N00033527,
N00025482,N00008274,N00006671,
N00004887,N00000528,N00008264,
N00004357,N00002424,N00030612,
N00025280,N00027751,N00033510,
N00030418,N00035544,N00025482,
N00006446,N00009660,N00004887,
N00024870,N00004724,N00036175,
N00008274,N00028138,N00039777,
N00000528,N00009585,N00004357,
N00002424,N00029273,N00025280,
N00027751,N00030071,N00030418,
N00009660,N00026106,N00024870,
N00004724,N00001093,N00000528,
N00028138,N00006460,N00002424,
N00009585,N00032457,N00027751,
N00033101,N00002147,N00035544,
N00029273,N00024871,N00009660,
N00030071,N00031782,N00042706,
N00026106,N00004291,N00004724,
N00001093,N00001813,N00028138,
N00001579,N00003062,N00009585,
N00006460,N00005681,N00033101,
N00032457,N00030622,N00030071,
N00002147,N00024790,N00026106,
N00024871,N00009920,N00001093,
N00031782,N00006897,N00006460,
N00004291,N00004961,N00032457,
N00001813,N00013770,N00002147,
N00003062,N00006263,N00024871,
N00005681,N00033983,N00031782,
N00030622,N00027523,N00004291,
N00024790,N00001311,N00001813,
N00028091,N00007833,N00003062,
N00009920,N00027623,N00005681,
N00006897,N00009816,N00030622,
N00004961,N00035282,N00024790,
N00013770,N00001811,N00028091,
N00006263,N00029649,N00009920,
N00033983,N00004118,N00006897,
N00027523,N00035523,N00004961,
N00001311,N00033932,N00013770,
N00007833,N00029574,N00006263,
N00027623,N00030891,N00033983,
N00009816,N00035774,N00027523,
N00035282,N00033508,N00001311,
N00001811,N00035535,N00007833,
N00031204,N00006701,N00027623,
N00029649,N00027605,N00009816,
N00004118,N00003288,N00035282,
N00033932,N00029736,N00001811,
N00029574,N00007419,N00042353,
N00005918,N00006052,N00038781,
N00030891,N00004572,N00037422,
N00033508,N00009699,N00029649,
N00006701,N00035492,N00004118,
N00005321,N00027509,N00035523,
N00027605,N00030191,N00033932,
N00003288,N00030196,N00029574,
N00029736,N00001489,N00040607,
N00007419,N00036107,N00035774,
N00006052,N00035607,N00038742,
N00004572,N00029026,N00033508,
N00009699,N00025175,N00006701,
N00000226,N00006561,N00031263,
N00027509,N00004133,N00036351,
N00030191,N00033367,N00027605,
N00030196,N00013820,N00003288,
N00001489,N00007021,N00029736,
N00029026,N00033839,N00007419,
N00025175,N00034349,N00006052,
N00008051,N00001102,N00004572,
N00006561,N00003813,N00009699,
N00004133,N00009659,N00035492,
N00033367,N00033106,N00027509,
N00013820,N00026368,N00030191,
N00007021,N00007690,N00030196,
N00033839,N00035311,N00001489,
N00034349,N00031226,N00036107,
N00001102,N00035391,N00035607,
N00003813,N00027467,N00029026,
N00009659,N00002097,N00025175,
N00033106,N00033492,N00006561,
N00026368,N00006690,N00004133,
N00007690,N00033539,N00033367,
N00031226,N00026335,N00013820,
N00035686,N00000515,N00007021,
N00027467,N00033310,N00033839,
N00002097,N00035527,N00034349,
N00033492,N00026163,N00001102,
N00006690,N00027533,N00003813,
N00002328,N00003467,N00033106,
N00001861,N00003280,N00026368,
N00033539,N00030602,N00007690,
N00026335,N00030650,N00035311,
N00000515,N00024809,N00031226,
N00033310,N00029459,N00035391,
N00026163,N00031857,N00027467,
N00027533,N00032416,N00002097,
N00003467,N00007724,N00033492,
N00003280,N00028073,N00006690,
N00030602,N00031502,N00033539,
N00030650,N00033220,N00026335,
N00024809,N00035509,N00000515,
N00029459,N00007999,N00033310,
N00002073,N00030670,N00035527,
N00031857,N00029404,N00027533,
N00032416,N00035616,N00003280,
N00007724,,N00041997,
N00028073,,N00030602,
N00031502,,N00030650,
N00033220,,N00024809,
N00001817,,N00029459,
N00007999,,N00031857,
N00030670,,N00032416,
,,N00007724,
,,N00028073,
,,N00031502,
,,N00033220,
,,N00035509,
,,N00007999,
,,N00030670,
,,N00029404,
,,N00035616,
