Name,ID
FMC,D000000327
Gap,D000000547
General Dynamics',D000000165
General Electric,D000000125
H&R Block,D000000076
Harley-Davidson,D000026387
Hess,D000034447
Hologic,D000026173
IDEX,D000059292
Illumina,D000071004
Intel,D000000804
Intuit,D000026667
Kellogg,D000026978
KLA,D000035133
Kohl's,D000042695
L Brands,D000000225
Lennar,D000053016
Lincoln National,D000022084
Loews,D000000207
Masco,D000027441
Mastercard,D000022099
McCormick &,D000070780
McDonald's,D000000373
AES,D000023775
Albemarle,D000046623
Allstate,D000000632
AT&T,D000000076
American Water Works,D000031514
Amgen,D000000391
Amphenol,D000068838
ANSYS,D000071075
Apache,D000024095
Apple,D000021754
Ball,D000024239
Bank Of America,D000000090
BlackRock,D000021872
Boeing,D000000100
BroadCom,D000060210
Chevron,D000000015
Carnival,D000000832
Cigna,D000000222
Coca-Cola,D000000212
Corning,D000000457
Cummins,D000021945
Dover,D000059154
Dow,D000000188
ETrade,D000025615
Eaton,D000025623
Exelon,D000000368
FedEx,D000000089
FirstEnergy,D000000531
Raytheon,D000000175
Rollins,D000037206
Southern,D000000168
Southwest Airlines,D000000785
Stryker,D000030157
Sysco,D000030251
Target,D000000619
Tiffany,D000030418
United Technologies,D000000209
Visa,D000029689
Waste Management,D000000161
Waters,D000030926
WestRock,D000067804
Xcel Energy,D000022329
WellCare,D000022315
SCANA,D000028916
Time Warner,D000000881
Acuity Brands,D000071070
DuPont,D000000495
Transocean,D000045915
Legg Mason,D000027185
EMC,D000000558
Johnson Controls,D000026889
Airgas,D000046542
Chubb,D000000320
Pall,D000071339
DirecTV,D000018252
Noble,D000059447
LSI,D000059889
SAIC,D000067120
El Paso,D000000130
