PERMNO,betav,year,TICKER
10107,0.7406,2014,MSFT
10138,0.81608,2014,TROW
10299,1.02105,2014,LLTC
10696,0.71421,2014,FISV
10909,1.07447,2014,CERN
11403,1.12285,2014,CDNS
11481,1.10168,2014,EBIX
11552,1.57979,2014,CELG
11600,0.66872,2014,XRAY
11618,0.77809,2014,FAST
11786,1.10931,2014,SIVB
11896,0.90265,2014,MXIM
12073,0.55598,2014,PBCT
12308,0.75773,2014,CHTR
13168,2.08178,2014,TRIP
13407,1.35371,2014,FB
13641,1.22801,2014,FANG
13760,1.18829,2014,NCLH
13949,0.93762,2014,CDW
13963,0.9931,2014,NWSA
13964,1.00619,2014,NWS
14008,1.23102,2014,AMGN
14542,1.16817,2014,GOOG
14593,0.72905,2014,AAPL
14601,0.62742,2014,NAVI
14702,1.10828,2014,AMAT
14704,0.18413,2014,MRKT
15579,1.11122,2014,TXN
16432,1.37083,2014,GT
21020,1.47516,2014,AAL
23473,0.47556,2014,CINF
23660,0.72652,2014,CTAS
23887,0.78979,2014,FTR
25778,1.10828,2014,CA
30648,0.76917,2014,COHU
34746,0.78867,2014,FITB
38682,1.24079,2014,RRD
39538,0.40163,2014,MAT
42877,0.51721,2014,JBHT
42906,0.80954,2014,HBAN
44644,0.69291,2014,ADP
45911,1.49002,2014,SWKS
46886,1.2146,2014,KLAC
48486,1.09755,2014,LRCX
52978,0.49351,2014,HAS
53613,2.16699,2014,MU
58246,0.74227,2014,NTRS
59328,0.63796,2014,INTC
60506,0.93688,2014,PCAR
60871,0.98412,2014,ADI
61621,0.57414,2014,PAYX
66325,0.56728,2014,SLM
66384,1.00663,2014,WDC
69550,1.20283,2014,MYL
75107,1.37452,2014,ABMD
75489,0.07079,2014,SPLS
75510,1.32603,2014,ADBE
75607,0.92618,2014,SYMC
75828,0.79152,2014,EA
76076,0.64843,2014,CSCO
76095,0.70137,2014,HOLX
76201,1.20001,2014,XLNX
76614,1.44688,2014,REGN
76709,0.65474,2014,IDXX
76744,1.51122,2014,VRTX
76795,0.99376,2014,ZBRA
76841,1.56825,2014,BIIB
77037,0.85402,2014,ODFL
77178,0.8488,2014,QCOM
77274,1.11556,2014,GILD
77281,0.86914,2014,WFM
77357,0.95862,2014,SNPS
77659,0.40136,2014,BBBY
77668,0.52631,2014,ESRX
77702,0.64004,2014,SBUX
78034,0.60801,2014,PDCO
78975,0.82841,2014,INTU
78987,1.33654,2014,MCHP
79089,0.6959,2014,FOSL
79103,0.64172,2014,ORLY
79265,1.07366,2014,FLIR
79678,0.99258,2014,ATVI
79879,1.10362,2014,JDSU
79881,0.47072,2014,URBN
79906,2.08514,2014,INCY
80286,1.0023,2014,TSCO
80320,0.89641,2014,CPRT
80539,1.84358,2014,NKTR
81138,1.05624,2014,APOL
81481,0.57699,2014,DLTR
81696,1.01847,2014,DISH
82107,0.67605,2014,WABC
82581,0.78443,2014,HSIC
82598,1.01716,2014,NTAP
82686,0.85715,2014,CTXS
83111,1.72203,2014,ALXN
83382,0.63059,2014,TCX
83435,1.49991,2014,YHOO
83621,0.83561,2014,ANSS
83862,1.84543,2014,ETFC
83906,0.51576,2014,SRCL
84129,1.07963,2014,ZION
84761,1.2395,2014,TTWO
84788,1.22305,2014,AMZN
85035,1.50242,2014,RFMD
85459,0.46359,2014,CHRW
85631,1.43188,2014,ADSK
85675,0.90128,2014,AMSG
85753,0.74617,2014,VRSN
85913,0.99404,2014,MAR
86158,1.04888,2014,CTSH
86356,0.62957,2014,EBAY
86580,1.16623,2014,NVDA
86783,1.63619,2014,PCLN
86964,1.06762,2014,FFIV
86996,0.55007,2014,SBAC
87055,0.36239,2014,COST
87299,1.39686,2014,AKAM
87717,0.49193,2014,EXPD
88031,0.99278,2014,MNST
88352,1.16298,2014,ISRG
88436,1.43607,2014,ENDP
88446,2.1778,2014,ILMN
88664,0.82166,2014,JKHY
88837,0.82666,2014,GRMN
88860,1.5079,2014,ALGN
89006,0.55585,2014,MDLZ
89393,1.12072,2014,NFLX
89525,0.74344,2014,CMCSA
89533,1.21239,2014,WYNN
89617,0.87055,2014,EQIX
89626,0.65833,2014,CME
89641,1.25919,2014,STX
89757,2.19496,2014,SHLD
89866,0.64124,2014,LKQ
90319,1.10656,2014,GOOGL
90441,0.98077,2014,FOXA
90442,0.89786,2014,FOX
90454,0.70788,2014,MKTX
90601,0.57771,2014,NDAQ
90805,0.89843,2014,DISCA
90808,1.42317,2014,EXPE
91063,0.9521,2014,VIAB
91391,0.62173,2014,WIN
91556,0.47032,2014,ROST
91611,1.7051,2014,FSLR
91668,0.94582,2014,IPGP
92322,0.42551,2014,ULTA
92778,0.83535,2014,DISCK
93002,1.49798,2014,AVGO
93089,0.59162,2014,VRSK
93132,1.26985,2014,FTNT
93429,0.63054,2014,CBOE
10104,1.1952,2014,ORCL
10145,1.21143,2014,HON
10516,1.21984,2014,ADM
11308,0.5308,2014,KO
11404,0.11543,2014,ED
11674,0.42049,2014,DTE
11703,1.06097,2014,DD
11762,1.62753,2014,ETN
11850,0.97173,2014,XOM
11891,1.73483,2014,MGM
11955,0.60381,2014,WM
12052,1.0748,2014,GD
12060,1.09202,2014,GE
12062,0.71108,2014,LH
12076,1.02352,2014,SIG
12345,2.02429,2014,LYB
12369,1.34079,2014,GM
12431,1.53461,2014,IR
12448,0.99525,2014,FRC
12449,1.69099,2014,FLT
12490,0.47087,2014,IBM
12542,0.87228,2014,NLSN
12558,1.16371,2014,KMI
12570,1.96611,2014,ITT
12622,0.75571,2014,HCA
12623,1.61039,2014,HII
12650,1.81503,2014,KSU
12872,1.30305,2014,MPC
12981,1.34988,2014,FBHS
13035,1.25009,2014,XYL
13103,1.32341,2014,DLPH
13141,2.04276,2014,WPX
13142,0.54842,2014,KORS
13356,1.60897,2014,PSX
13447,1.9651,2014,NOW
13584,0.81025,2014,SUN
13586,1.71048,2014,PNR
13688,0.32034,2014,PCG
13721,1.26488,2014,ABBV
13788,0.82016,2014,ZTS
13856,0.53143,2014,PEP
13901,0.50064,2014,MO
13911,1.02963,2014,Q
13928,1.47291,2014,COP
13936,0.66811,2014,PVH
13983,0.74849,2014,COTY
14011,1.24615,2014,MNK
14040,1.63318,2014,S
14065,1.08232,2014,EVHC
14213,0.99561,2014,MMI
14277,1.36546,2014,SLB
14295,0.66901,2014,TWTR
14297,1.21356,2014,ALLE
14338,1.45599,2014,HLT
14541,1.25323,2014,CVX
14579,1.40624,2014,PAYC
14714,0.97324,2014,ANET
15069,1.65444,2014,MRO
15202,1.41839,2014,VMC
15456,0.80407,2014,FL
15720,0.42164,2014,EIX
16600,0.59776,2014,HSY
16678,0.67214,2014,KR
17005,0.74067,2014,CVS
17144,0.65548,2014,GIS
17478,1.29369,2014,MHFI
17743,0.65638,2014,WRB
17750,0.40922,2014,KMB
17830,0.988,2014,UTX
18163,0.31204,2014,PG
18403,2.47737,2014,JCP
18411,0.01717,2014,SO
18542,0.96698,2014,CAT
18729,0.54299,2014,CL
19166,1.16224,2014,FMC
19350,0.43632,2014,DE
19393,1.1225,2014,BMY
19502,0.84556,2014,WBA
19561,1.13989,2014,BA
20415,1.34629,2014,LUK
20482,0.96466,2014,ABT
20626,1.80094,2014,DOW
21178,1.00628,2014,LMT
21186,1.27006,2014,MWV
21207,0.59645,2014,NEM
21371,0.8684,2014,CAH
21573,1.01379,2014,IP
21776,0.43446,2014,EXC
21792,1.07716,2014,CNP
21936,0.77435,2014,PFE
22103,1.30177,2014,EMR
22111,0.83557,2014,JNJ
22293,1.54776,2014,GLW
22509,1.31248,2014,PPG
22517,0.54934,2014,PPL
22592,1.15404,2014,MMM
22752,0.71995,2014,MRK
22779,0.845,2014,MSI
23026,0.33804,2014,FE
23085,0.41055,2014,SCG
23229,0.38679,2014,CMS
23393,0.53532,2014,CHD
23536,0.29586,2014,WEC
23579,1.67603,2014,TXT
23712,0.38454,2014,PEG
23819,1.75938,2014,HAL
23931,0.34574,2014,XEL
24010,0.16723,2014,ETR
24053,0.38621,2014,WR
24109,0.39923,2014,AEP
24205,0.58606,2014,NEE
24328,0.96798,2014,EQT
24459,1.40088,2014,PBI
24643,1.81955,2014,AA
24766,1.23154,2014,NOC
24942,0.99811,2014,RTN
24985,0.50508,2014,AEE
25081,1.37238,2014,CMA
25232,1.58571,2014,OKE
25320,0.55934,2014,CPB
25419,1.37339,2014,WHR
25582,1.32167,2014,HRS
25785,1.2326,2014,F
25953,1.70917,2014,DOV
26403,1.0849,2014,DIS
26607,0.73643,2014,BH
26710,0.92685,2014,L
26825,0.69111,2014,K
27043,0.7713,2014,VAR
27422,0.76643,2014,CLF
27633,1.51781,2014,R
27828,1.01484,2014,HPQ
27887,0.66238,2014,BAX
27959,0.16195,2014,DUK
27983,1.10486,2014,XRX
27991,0.52421,2014,PNW
28222,1.39243,2014,APD
28345,1.50865,2014,MUR
28388,0.51083,2014,VNO
28484,1.72815,2014,HES
28804,1.24303,2014,ALK
29102,2.66733,2014,NBR
30681,0.84557,2014,OMC
30940,1.7599,2014,FLS
32707,1.91928,2014,HP
32803,1.15911,2014,HFC
32870,0.66194,2014,HRL
32986,0.57605,2014,ATO
34032,1.42845,2014,MAS
34817,1.10031,2014,NUE
34833,1.25134,2014,OXY
35044,1.30811,2014,RF
35051,1.21225,2014,PLL
35554,0.80232,2014,MTB
36003,0.91395,2014,ROL
36397,1.19934,2014,FHN
36468,1.15056,2014,SHW
37284,0.8759,2014,TSO
37584,1.55712,2014,BEN
38093,0.88462,2014,AJG
38156,1.55572,2014,WMB
38703,0.96963,2014,WFC
38762,1.00598,2014,NI
39490,1.62036,2014,APA
39642,0.70627,2014,BDX
39917,0.61088,2014,WY
40125,1.02139,2014,CSC
40272,0.9539,2014,IFF
40416,0.5937,2014,AVP
40539,0.61125,2014,TJX
41080,1.48706,2014,CMI
41355,1.72293,2014,PH
42200,1.26296,2014,PKI
42534,1.80305,2014,JCI
42585,0.58439,2014,SJM
43123,1.67083,2014,ATI
43350,1.19532,2014,SWK
43449,0.55864,2014,MCD
43553,0.82833,2014,VFC
43772,0.63379,2014,BMS
44206,0.37525,2014,NU
44329,0.99414,2014,TFX
44601,1.10389,2014,AVY
44951,1.29972,2014,SVU
45277,1.218,2014,IGT
45356,1.19848,2014,TYC
45495,1.46955,2014,RDC
45751,1.00203,2014,MMC
46392,1.30257,2014,ITG
46578,0.27743,2014,CLX
46674,0.98237,2014,GPC
46703,1.03519,2014,HST
46877,0.68534,2014,BCR
47896,1.20625,2014,JPM
47941,1.67346,2014,GCI
48506,1.22393,2014,MCO
48653,0.74134,2014,HUM
48725,1.27807,2014,UNP
49015,1.75604,2014,LNC
49154,0.68812,2014,TGT
49373,1.24607,2014,HRB
49656,0.96285,2014,BK
49680,1.03826,2014,DHR
50017,0.44206,2014,RRC
50286,1.40395,2014,LEE
50876,0.83742,2014,LLY
51369,1.62987,2014,TER
51692,0.76514,2014,PIR
52038,0.55966,2014,SYY
52090,0.55847,2014,MKC
52230,1.20662,2014,RHI
52329,1.37293,2014,JEC
52337,0.82089,2014,THC
52476,0.86232,2014,EFX
52695,1.20462,2014,GWW
52708,1.43595,2014,LEN
53065,1.22341,2014,IPG
53225,0.73077,2014,GHC
54148,1.49792,2014,PHM
55976,0.39833,2014,WMT
56274,0.26382,2014,CAG
56573,1.06369,2014,ITW
57568,0.84668,2014,BLL
57665,0.88208,2014,NKE
57817,0.58709,2014,JWN
57904,1.02947,2014,AFL
58413,0.43244,2014,FRT
58683,1.28806,2014,LUV
58819,0.55588,2014,LNT
59010,1.07182,2014,GPS
59176,1.27164,2014,AXP
59192,0.6335,2014,CB
59248,0.9431,2014,TAP
59300,0.38133,2014,UDR
59408,1.17457,2014,BAC
59459,0.61547,2014,TRV
60097,1.03324,2014,MDT
60206,1.36797,2014,SNA
60442,1.12961,2014,PNC
60599,0.7704,2014,CTL
60628,0.88331,2014,FDX
60943,0.87884,2014,LEG
60986,0.96194,2014,NWL
61241,1.98027,2014,AMD
61399,0.94889,2014,LOW
61735,1.1161,2014,AON
61815,1.89886,2014,NBL
62092,1.17751,2014,TMO
62148,1.00124,2014,CSX
62308,0.99819,2014,TMK
63765,0.64554,2014,SWN
64186,0.83234,2014,CI
64282,0.90547,2014,LB
64311,1.19614,2014,NSC
64390,0.83311,2014,PGR
64653,0.46612,2014,PSA
64936,0.69458,2014,D
64995,1.4553,2014,KEY
65330,1.66759,2014,LM
65402,1.26136,2014,AOS
65541,1.31036,2014,COO
65875,0.57673,2014,VZ
66093,0.56966,2014,T
66157,0.97358,2014,USB
66181,0.93988,2014,HD
66800,1.1291,2014,AIG
67029,1.22703,2014,ITI
67467,1.14583,2014,BIG
67598,-0.05781,2014,HCP
68144,1.23117,2014,STI
68591,1.3366,2014,STJ
69032,1.56855,2014,MS
69649,1.359,2014,RJF
69796,1.12886,2014,STZ
70033,1.13188,2014,HOG
70332,1.54945,2014,APC
70500,1.2159,2014,CCE
70519,1.20383,2014,C
70578,1.19773,2014,ECL
71175,1.35227,2014,UNM
71563,0.82317,2014,BBT
72726,1.47143,2014,STT
73139,0.90454,2014,SYK
75034,1.25042,2014,BHI
75100,1.13101,2014,TIF
75104,1.19343,2014,CBS
75154,1.04781,2014,CCL
75186,1.77877,2014,SCHW
75224,1.39722,2014,HAR
75241,1.73085,2014,PXD
75341,0.65767,2014,DRE
75591,1.37694,2014,IEX
75646,1.01439,2014,AGN
75819,0.03141,2014,VTR
75825,1.64476,2014,EOG
76082,0.58902,2014,COG
76226,1.19157,2014,CBS
76282,1.27365,2014,AN
76605,0.68788,2014,AZO
76639,1.15901,2014,TSS
76644,1.40484,2014,X
76708,1.13632,2014,DV
76712,1.01892,2014,AES
77129,0.60977,2014,KIM
77157,1.58826,2014,OI
77182,0.95264,2014,PRGO
77338,1.06487,2014,ROP
77418,1.12902,2014,TWX
77462,0.70134,2014,M
77496,1.31874,2014,MHK
77605,0.80852,2014,BSX
77606,0.69581,2014,KSS
77649,1.11849,2014,STE
77661,1.35001,2014,DHI
77730,0.47045,2014,TSN
78038,1.2883,2014,RDN
78877,1.66432,2014,CHK
78916,1.16844,2014,ACT
79057,0.75718,2014,ACE
79094,1.56498,2014,JBL
79129,0.57373,2014,GGP
79145,1.49571,2014,RCL
79237,1.66014,2014,RIG
79323,0.68401,2014,ALL
79545,1.44351,2014,BWA
79547,0.33633,2014,EQR
79637,0.97311,2014,UHS
79698,0.9846,2014,IT
79782,0.58415,2014,REG
79785,0.64116,2014,NVR
79915,2.51068,2014,NFX
80080,1.50168,2014,EMN
80100,0.49379,2014,SPG
80183,0.39235,2014,MAA
80191,1.73221,2014,ALB
