PERMNO,betan,betav,date,year,file,TICKER
10104,5,0.83589,20161230,2016,6,ORCL
10145,4,0.79147,20161230,2016,6,HON
10516,5,1.38116,20161230,2016,6,ADM
11308,8,0.41295,20161230,2016,6,KO
11404,9,-0.24434,20161230,2016,6,ED
11674,8,0.09325,20161230,2016,6,DTE
11703,5,0.96843,20161230,2016,6,DD
11762,2,1.40356,20161230,2016,6,ETN
11850,3,0.53695,20161230,2016,6,XOM
11891,1,1.84778,20161230,2016,6,MGM
11955,7,0.30049,20161230,2016,6,WM
12052,6,0.827,20161230,2016,6,GD
12060,5,1.18768,20161230,2016,6,GE
12062,6,1.03353,20161230,2016,6,LH
12076,5,1.32013,20161230,2016,6,SIG
12345,2,1.5654,20161230,2016,6,LYB
12369,3,1.49028,20161230,2016,6,GM
12431,4,1.46983,20161230,2016,6,IR
12448,5,1.49875,20161230,2016,6,FRC
12449,4,1.74041,20161230,2016,6,FLT
12490,5,1.09572,20161230,2016,6,IBM
12542,4,0.90642,20161230,2016,6,NLSN
12558,2,2.11837,20161230,2016,6,KMI
12570,3,2.09883,20161230,2016,6,ITT
12622,6,0.98122,20161230,2016,6,HCA
12623,4,0.61852,20161230,2016,6,HII
12650,3,0.99794,20161230,2016,6,KSU
12872,1,1.71761,20161230,2016,6,MPC
12981,4,1.1158,20161230,2016,6,FBHS
13035,4,1.10064,20161230,2016,6,XYL
13103,2,2.10884,20161230,2016,6,DLPH
13141,1,3.06624,20161230,2016,6,WPX
13142,3,1.25982,20161230,2016,6,KORS
13356,2,1.0194,20161230,2016,6,PSX
13447,4,1.46471,20161230,2016,6,NOW
13584,4,2.17952,20161230,2016,6,SUN
13586,3,1.82358,20161230,2016,6,PNR
13688,9,0.19527,20161230,2016,6,PCG
13721,3,0.80758,20161230,2016,6,ABBV
13788,4,0.62848,20161230,2016,6,ZTS
13856,6,0.42811,20161230,2016,6,PEP
13901,8,0.12326,20161230,2016,6,MO
13911,6,0.85938,20161230,2016,6,Q
13928,2,2.0913,20161230,2016,6,COP
13936,5,1.82134,20161230,2016,6,PVH
13983,7,0.87906,20161230,2016,6,COTY
14011,1,1.21552,20161230,2016,6,MNK
14040,2,1.86853,20161230,2016,6,S
14213,3,1.7698,20161230,2016,6,MMI
14277,4,1.24473,20161230,2016,6,SLB
14295,4,1.95241,20161230,2016,6,TWTR
14297,5,1.23253,20161230,2016,6,ALLE
14338,4,1.48754,20161230,2016,6,HLT
14541,2,0.88122,20161230,2016,6,CVX
14579,2,2.09546,20161230,2016,6,PAYC
14714,5,1.7624,20161230,2016,6,ANET
14776,8,1.67033,20161230,2016,6,SYF
14889,5,1.82233,20161230,2016,6,CFG
14939,7,1.48981,20161230,2016,6,KEYS
15069,1,3.4892,20161230,2016,6,MRO
15202,3,1.0788,20161230,2016,6,VMC
15331,4,1.45329,20161230,2016,6,IGT
15456,7,1.02203,20161230,2016,6,FL
15707,1,2.0096,20161230,2016,6,HPE
15720,9,0.05632,20161230,2016,6,EIX
15797,3,1.20697,20161230,2016,6,CSRA
15980,1,2.00334,20161230,2016,6,UA
16048,5,0.94067,20161230,2016,6,CCE
16600,8,0.51812,20161230,2016,6,HSY
16678,6,0.38025,20161230,2016,6,KR
17005,6,0.25663,20161230,2016,6,CVS
17144,8,0.57096,20161230,2016,6,GIS
17478,4,1.27251,20161230,2016,6,SPGI
17743,7,0.77354,20161230,2016,6,WRB
17750,7,0.3971,20161230,2016,6,KMB
17830,5,0.9266,20161230,2016,6,UTX
18163,7,0.31049,20161230,2016,6,PG
18403,3,1.53087,20161230,2016,6,JCP
18411,9,0.01556,20161230,2016,6,SO
18542,3,1.68191,20161230,2016,6,CAT
18729,7,0.53516,20161230,2016,6,CL
19166,2,1.6788,20161230,2016,6,FMC
19350,4,0.91848,20161230,2016,6,DE
19393,6,0.65518,20161230,2016,6,BMY
19561,4,1.29825,20161230,2016,6,BA
20415,4,1.67788,20161230,2016,6,LUK
20482,4,0.90239,20161230,2016,6,ABT
20626,2,1.06388,20161230,2016,6,DOW
21178,7,0.35451,20161230,2016,6,LMT
21186,3,2.04766,20161230,2016,6,WRK
21207,3,0.40578,20161230,2016,6,NEM
21371,6,0.83127,20161230,2016,6,CAH
21573,3,1.38577,20161230,2016,6,IP
21776,8,0.47101,20161230,2016,6,EXC
21792,6,0.54756,20161230,2016,6,CNP
21936,5,0.41778,20161230,2016,6,PFE
22103,5,1.47622,20161230,2016,6,EMR
22111,7,0.34705,20161230,2016,6,JNJ
22293,4,1.23888,20161230,2016,6,GLW
22509,3,1.2678,20161230,2016,6,PPG
22517,8,0.48141,20161230,2016,6,PPL
22592,8,0.70006,20161230,2016,6,MMM
22752,5,0.63045,20161230,2016,6,MRK
22779,7,1.20948,20161230,2016,6,MSI
23026,8,0.26212,20161230,2016,6,FE
23085,9,0.07004,20161230,2016,6,SCG
23229,8,-0.02152,20161230,2016,6,CMS
23393,8,0.50138,20161230,2016,6,CHD
23536,9,-0.11123,20161230,2016,6,WEC
23579,3,1.30035,20161230,2016,6,TXT
23712,8,0.23991,20161230,2016,6,PEG
23819,2,1.70158,20161230,2016,6,HAL
23931,9,-0.02357,20161230,2016,6,XEL
24010,8,0.2662,20161230,2016,6,ETR
24053,8,0.191,20161230,2016,6,WR
24109,8,0.01821,20161230,2016,6,AEP
24205,8,-0.10845,20161230,2016,6,NEE
24328,4,0.48421,20161230,2016,6,EQT
24459,4,2.04127,20161230,2016,6,PBI
24643,2,2.80614,20161230,2016,6,ARNC
24766,5,0.29683,20161230,2016,6,NOC
24942,7,0.37864,20161230,2016,6,RTN
24985,9,0.15878,20161230,2016,6,AEE
25081,3,2.12141,20161230,2016,6,CMA
25232,1,2.20034,20161230,2016,6,OKE
25320,8,0.27362,20161230,2016,6,CPB
25419,3,1.67992,20161230,2016,6,WHR
25582,4,1.13911,20161230,2016,6,HRS
25785,2,1.54043,20161230,2016,6,F
25953,5,1.61895,20161230,2016,6,DOV
26403,5,0.86536,20161230,2016,6,DIS
26607,8,0.68549,20161230,2016,6,BH
26710,6,1.09286,20161230,2016,6,L
26825,8,0.49322,20161230,2016,6,K
27043,6,0.81793,20161230,2016,6,VAR
27422,1,4.06556,20161230,2016,6,CLF
27633,2,2.06453,20161230,2016,6,R
27828,3,1.82026,20161230,2016,6,HPQ
27887,6,0.79113,20161230,2016,6,BAX
27959,8,0.02866,20161230,2016,6,DUK
27983,3,1.47422,20161230,2016,6,XRX
27991,9,0.14098,20161230,2016,6,PNW
28222,5,1.16641,20161230,2016,6,APD
28345,1,3.12553,20161230,2016,6,MUR
28388,6,1.12498,20161230,2016,6,VNO
28484,1,2.60881,20161230,2016,6,HES
28804,7,1.63036,20161230,2016,6,ALK
29102,1,3.68599,20161230,2016,6,NBR
30681,6,0.94775,20161230,2016,6,OMC
30940,4,1.97692,20161230,2016,6,FLS
32707,1,2.27465,20161230,2016,6,HP
32803,4,1.17433,20161230,2016,6,HFC
32870,7,0.36901,20161230,2016,6,HRL
32986,9,0.24751,20161230,2016,6,ATO
34032,3,1.38941,20161230,2016,6,MAS
34817,3,1.7207,20161230,2016,6,NUE
34833,3,1.08203,20161230,2016,6,OXY
35044,3,1.97222,20161230,2016,6,RF
35554,5,1.3091,20161230,2016,6,MTB
36003,6,0.85949,20161230,2016,6,ROL
36397,4,1.67799,20161230,2016,6,FHN
36468,4,0.77099,20161230,2016,6,SHW
37284,3,0.96967,20161230,2016,6,TSO
37584,3,1.86921,20161230,2016,6,BEN
38093,6,0.92628,20161230,2016,6,AJG
38156,1,3.03966,20161230,2016,6,WMB
38703,4,1.3017,20161230,2016,6,WFC
38762,7,0.28388,20161230,2016,6,NI
39490,1,2.33491,20161230,2016,6,APA
39642,7,0.66848,20161230,2016,6,BDX
39917,5,1.95775,20161230,2016,6,WY
40125,4,1.65001,20161230,2016,6,CSC
40272,5,0.69659,20161230,2016,6,IFF
40416,1,3.68899,20161230,2016,6,AVP
40539,6,0.81602,20161230,2016,6,TJX
41080,4,1.39491,20161230,2016,6,CMI
41355,3,1.45657,20161230,2016,6,PH
42200,4,1.10488,20161230,2016,6,PKI
42585,6,0.33493,20161230,2016,6,SJM
43123,1,4.1891,20161230,2016,6,ATI
43350,6,1.08982,20161230,2016,6,SWK
43449,7,0.5073,20161230,2016,6,MCD
43553,6,1.43618,20161230,2016,6,VFC
43772,5,0.62734,20161230,2016,6,BMS
44206,9,0.02368,20161230,2016,6,ES
44329,7,0.62769,20161230,2016,6,TFX
44601,4,0.71731,20161230,2016,6,AVY
44951,2,2.76326,20161230,2016,6,SVU
45356,5,1.18789,20161230,2016,6,JCI
45495,2,2.78625,20161230,2016,6,RDC
45751,5,0.69649,20161230,2016,6,MMC
46392,6,1.51686,20161230,2016,6,ITG
46578,8,0.11482,20161230,2016,6,CLX
46674,5,0.92523,20161230,2016,6,GPC
46703,3,1.90492,20161230,2016,6,HST
46877,7,0.45947,20161230,2016,6,BCR
47896,3,1.48415,20161230,2016,6,JPM
47941,3,1.58782,20161230,2016,6,TGNA
48506,5,1.71451,20161230,2016,6,MCO
48653,7,0.82878,20161230,2016,6,HUM
48725,3,0.9145,20161230,2016,6,UNP
49015,2,2.33402,20161230,2016,6,LNC
49154,7,0.90233,20161230,2016,6,TGT
49373,6,0.31912,20161230,2016,6,HRB
49656,3,1.42687,20161230,2016,6,BK
49680,6,0.72532,20161230,2016,6,DHR
50017,2,1.74462,20161230,2016,6,RRC
50286,5,1.74523,20161230,2016,6,LEE
50876,7,0.28512,20161230,2016,6,LLY
51369,3,1.36815,20161230,2016,6,TER
51692,4,2.64669,20161230,2016,6,PIR
52038,8,0.67059,20161230,2016,6,SYY
52090,7,0.2826,20161230,2016,6,MKC
52230,4,1.4889,20161230,2016,6,RHI
52329,2,1.68893,20161230,2016,6,JEC
52337,2,1.78251,20161230,2016,6,THC
52476,4,1.17085,20161230,2016,6,EFX
52695,7,1.01754,20161230,2016,6,GWW
52708,4,1.37573,20161230,2016,6,LEN
53065,3,0.96311,20161230,2016,6,IPG
53225,6,0.8922,20161230,2016,6,GHC
54148,3,1.4819,20161230,2016,6,PHM
55976,8,0.23706,20161230,2016,6,WMT
56274,6,0.51863,20161230,2016,6,CAG
56573,5,1.1611,20161230,2016,6,ITW
57568,4,0.91324,20161230,2016,6,BLL
57665,6,1.02159,20161230,2016,6,NKE
57817,6,1.44483,20161230,2016,6,JWN
57904,4,0.82482,20161230,2016,6,AFL
58413,7,0.41665,20161230,2016,6,FRT
58683,5,1.43434,20161230,2016,6,LUV
58819,8,0.01557,20161230,2016,6,LNT
59010,7,1.42169,20161230,2016,6,GPS
59176,5,1.19999,20161230,2016,6,AXP
59248,7,0.84933,20161230,2016,6,TAP
59300,7,0.58154,20161230,2016,6,UDR
59408,3,1.92975,20161230,2016,6,BAC
59459,6,0.74269,20161230,2016,6,TRV
60097,3,0.47135,20161230,2016,6,MDT
60206,5,1.0101,20161230,2016,6,SNA
60442,5,1.26105,20161230,2016,6,PNC
60599,4,1.44177,20161230,2016,6,CTL
60628,5,1.41296,20161230,2016,6,FDX
60943,6,1.04984,20161230,2016,6,LEG
60986,5,1.65654,20161230,2016,6,NWL
61399,6,1.02972,20161230,2016,6,LOW
61735,5,0.79272,20161230,2016,6,AON
61815,1,1.62563,20161230,2016,6,NBL
62092,5,0.86615,20161230,2016,6,TMO
62308,6,1.12275,20161230,2016,6,TMK
63765,1,1.69225,20161230,2016,6,SWN
64186,8,1.02523,20161230,2016,6,CI
64282,7,1.0409,20161230,2016,6,LB
64311,3,1.13545,20161230,2016,6,NSC
64390,6,0.76015,20161230,2016,6,PGR
64653,8,0.46635,20161230,2016,6,PSA
64936,9,0.03953,20161230,2016,6,D
64995,3,1.64152,20161230,2016,6,KEY
65330,4,2.25367,20161230,2016,6,LM
65402,4,1.4433,20161230,2016,6,AOS
65541,8,0.71991,20161230,2016,6,COO
65875,7,0.38313,20161230,2016,6,VZ
66093,7,0.30424,20161230,2016,6,T
66157,4,1.06843,20161230,2016,6,USB
66181,5,0.9851,20161230,2016,6,HD
