PERMNO,date,TICKER,PRC,SHROUT,Market Cap
10104,20181105,ORCL,49.02,3787960,185685799.2
10107,20181105,MSFT,107.51,7676219,825270304.7
10138,20181105,TROW,97.42,240655,23444610.1
10145,20181105,HON,147.17999,740288,108955580.4
10516,20181105,ADM,48.1,559737,26923349.7
10696,20181105,FISV,76.71,398471,30566710.41
10909,20181105,CERN,56.65,329488,18665495.2
11308,20181105,KO,48.69,4256514,207249666.7
11403,20181105,CDNS,44.95,282142,12682282.9
11404,20181105,ED,76.04,311103,23656272.12
11552,20181105,CELG,74.27,699252,51933446.04
11600,20181105,XRAY,34.93,222548,7773601.64
11618,20181105,FAST,52.64,287057,15110680.48
11674,20181105,DTE,113.36,181925,20623018
11762,20181105,ETN,73.75,433400,31963250
11786,20181105,SIVB,243.58,53251,12970878.58
11850,20181105,XOM,81.64,4233810,345648248.4
11891,20181105,MGM,27.62,531937,14692099.94
11896,20181105,MXIM,51.41,277063,14243808.83
11955,20181105,WM,87.78,426347,37424739.66
12052,20181105,GD,177.97,296150,52705815.5
12060,20181105,GE,9.28,8698115,80718507.2
12062,20181105,LH,163,100900,16446700
12073,20181105,PBCT,15.78,377364,5954803.92
12076,20181105,SIG,60.99,51911,3166051.89
12308,20181105,CHTR,323.35001,228918,74020637.59
12345,20181105,LYB,93.49,383658,35868186.42
12369,20181105,GM,36.25,1411404,51163395
12431,20181105,IR,99.14,245656,24354335.84
12448,20181105,FRC,93.02,161774,15048217.48
12449,20181105,FLT,197.48,88648,17506207.04
12490,20181105,IBM,120.06,908794,109109807.6
12542,20181105,NLSN,26.76,354983,9499345.08
12558,20181105,KMI,17.26,2207018,38093130.68
12570,20181105,ITT,55.66,87600,4875816
12622,20181105,HCA,135.36,346046,46840786.56
12623,20181105,HII,226.27,43318,9801563.86
12650,20181105,KSU,102.09,101697,10382246.73
12872,20181105,MPC,69.76,690817,48191393.92
12981,20181105,FBHS,45.7,142420,6508594
13035,20181105,XYL,68.51,179716,12312343.16
13103,20181105,APTV,76.1,263472,20050219.2
13141,20181105,WPX,16.11,420400,6772644
13142,20181105,KORS,58.3,149322,8705472.6
13168,20181105,TRIP,53.24,124866,6647865.84
13356,20181105,PSX,100.52,461125,46352285
13407,20181105,FB,148.67999,2402466,357198620.9
13447,20181105,NOW,180.41,177900,32094939
13584,20181105,SUN,26.61,82504,2195431.44
13586,20181105,PNR,41.85,173601,7265201.85
13641,20181105,FANG,115.99,101258,11744915.42
13688,20181105,PCG,48.71,517151,25190425.21
13721,20181105,ABBV,82.58,1514273,125048664.3
13760,20181105,NCLH,46.09,221468,10207460.12
13788,20181105,ZTS,92.72,481824,44674721.28
13856,20181105,PEP,114.39,1411568,161469263.5
13901,20181105,MO,64.63,1879045,121442678.4
13911,20181105,IQV,121.67,202306,24614571.02
13928,20181105,COP,69.03,1151242,79470235.26
13936,20181105,PVH,127.23,76715,9760449.45
13949,20181105,CDW,87.71,149985,13155184.35
13963,20181105,NWSA,13.16,385215,5069429.4
13964,20181105,NWS,13.36,199630,2667056.8
13983,20181105,COTY,11.06,750804,8303892.24
14008,20181105,AMGN,189.92,637219,121020632.5
14011,20181105,MNK,27.16,83209,2259956.44
14040,20181105,S,6.27,4077203,25564062.81
14213,20181105,MMI,34.83,38622,1345204.26
14277,20181105,SLB,51.96,1384802,71954311.92
14295,20181105,TWTR,34.02,761250,25897725
14297,20181105,ALLE,88.6,95056,8421961.6
14338,20181105,HLT,72.4,296570,21471668
14541,20181105,CVX,118.94,1916147,227906524.2
14542,20181105,GOOG,1040.08997,349615,363631054.9
14579,20181105,PAYC,124.23,57730,7171797.9
14593,20181105,AAPL,201.59,4745398,956624782.8
14601,20181105,NAVI,12.09,264586,3198844.74
14702,20181105,AMAT,34.32,967000,33187440
14704,20181105,INFO,51.9,394165,20457163.5
14714,20181105,ANET,248.96001,74824,18628183.79
14776,20181105,SYF,26.72,718732,19204519.04
14889,20181105,CFG,37.73,475946,17957442.58
14939,20181105,KEYS,58.34,187428,10934549.52
15069,20181105,MRO,18.69,854147,15964007.43
15202,20181105,VMC,100.59,132048,13282708.32
15331,20181105,IGT,17.54,204201,3581685.54
15378,20181105,LIFE,0.6303,29866,18824.5398
15408,20181105,KHC,52.39,1219435,63886199.65
15432,20181105,ALPN,4.72,13852,65381.44
15456,20181105,FL,50.2,114896,5767779.2
15488,20181105,PYPL,84.05,1178359,99041073.95
15579,20181105,TXN,95.66,960543,91885543.38
15707,20181105,HPE,15.93,1471648,23443352.64
15720,20181105,EIX,68.76,325811,22402764.36
15980,20181105,UA,21.46,224424,4816139.04
16048,20181105,CCE,46.18,486108,22448467.44
16432,20181105,GT,21.65,233010,5044666.5
16600,20181105,HSY,106.97,149188,15958640.36
16678,20181105,KR,30.61,797419,24408995.59
17005,20181105,CVS,73.69,1018064,75021136.16
17144,20181105,GIS,42.97,596230,25620003.1
17478,20181105,SPGI,183.21001,250900,45967391.51
17743,20181105,WRB,76.45,122118,9335921.1
17750,20181105,KMB,106.87,346301,37009187.87
17830,20181105,UTX,127.25,800984,101925214
18163,20181105,PG,91.2,2491408,227216409.6
18403,20181105,JCP,1.57,314800,494236
18411,20181105,SO,45.25,1014136,45889654
18542,20181105,CAT,126.41,590107,74595425.87
