stock_ticker,stock_price_change,directed_dollars_to_pres,directed_dollars_to_senate,directed_dollars,donated_dollars,total_money_lost,total_money_won,democrat_dollars,republican_dollars,beta
A,1.0114335971855866,-20936.0,8296.0,-12971.0,36333.0,24652.0,11681.0,34650.0,1683.0,1.23531
AAL,2.390149686141953,-125573.0,126046.0,391549.0,1047495.0,327973.0,719522.0,398865.0,648630.0,1.54709
AAP,2.095307384503471,-4094.0,9238.0,11766.0,24020.0,6127.0,17893.0,4820.0,19200.0,0.84276
AAPL,0.5167255915148132,-709512.0,262910.0,-357138.0,1245320.0,801229.0,444091.0,1062388.0,182932.0,0.97367
ABBV,6.530612244897966,-45922.0,76478.0,506570.0,758702.0,126066.0,632636.0,334819.0,423883.0,0.80758
ABC,6.447979726875957,-22930.0,111231.0,481945.0,660025.0,89040.0,570985.0,241483.0,418542.0,0.72048
ABMD,-0.42265426880811674,-74.0,-1618.0,16558.0,26746.0,5094.0,21652.0,12576.0,14170.0,1.65478
ABT,1.1357900050479515,-44412.0,76414.0,495334.0,803050.0,153858.0,649192.0,334229.0,468821.0,0.90239
ADBE,-0.7545086492454942,-105412.0,30400.0,-68676.0,166770.0,117723.0,49047.0,162163.0,4607.0,1.24434
ADP,0.16528925619836343,-23237.0,20524.0,24524.0,90524.0,33000.0,57524.0,59026.0,31498.0,0.64923
ADS,2.339816368841923,-8766.0,31820.0,131444.0,178810.0,23683.0,155127.0,34380.0,144430.0,1.02254
ADSK,1.198272258603879,-54135.0,3824.0,-50332.0,87310.0,68821.0,18489.0,83947.0,3363.0,1.81294
AEE,-3.6913410563518596,-11070.0,29195.0,173500.0,215256.0,20878.0,194378.0,46105.0,169151.0,0.15878
AEP,-2.6077277786611575,-28570.0,37459.0,277577.0,503819.0,113121.0,390698.0,77404.0,426415.0,0.01821
AES,-3.4565916398713767,-9584.0,26375.0,147941.0,182371.0,17215.0,165156.0,102225.0,80146.0,1.33724
AET,7.987922042272828,-81467.0,91971.0,405261.0,773027.0,183883.0,589144.0,289780.0,483247.0,0.87657
AFL,2.90313308421959,-40501.0,270997.0,1075568.0,1417520.0,170976.0,1246544.0,631508.0,786012.0,0.82482
AIG,3.0790052444594807,-130333.0,63656.0,-4279.0,316099.0,160189.0,155910.0,186324.0,129775.0,1.21068
AIZ,2.3586671658554934,-12127.0,32623.0,142556.0,192930.0,25187.0,167743.0,65999.0,126931.0,1.06934
AKAM,0.3317749962298251,-25005.0,16071.0,-9377.0,62915.0,36146.0,26769.0,50083.0,12832.0,1.04555
ALB,-6.477497383416662,-6307.0,7700.0,6443.0,24097.0,8827.0,15270.0,8827.0,15270.0,1.26974
ALGN,1.1013460896651424,-5920.0,2500.0,1980.0,14820.0,6420.0,8400.0,12320.0,2500.0,1.11008
ALK,0.9936516698868587,-11307.0,59955.0,115230.0,206782.0,45776.0,161006.0,99108.0,107674.0,1.63036
ALL,2.26522652265227,-27670.0,55484.0,179224.0,326760.0,73768.0,252992.0,110889.0,215871.0,0.59978
ALXN,6.1524334251606945,-15263.0,41675.0,87747.0,122385.0,17319.0,105066.0,77219.0,45166.0,0.79228
AMAT,-0.7157464212678946,-20610.0,10925.0,53590.0,145064.0,45737.0,99327.0,87216.0,57848.0,1.53486
AMD,1.3138686131386947,-8116.0,1268.0,-6876.0,10208.0,8542.0,1666.0,7008.0,3200.0,2.50091
AME,4.2548451770995825,57.0,777.0,854.0,2796.0,971.0,1825.0,1497.0,1299.0,1.19483
AMG,5.170982109156782,-36473.0,149670.0,184997.0,418143.0,116573.0,301570.0,14523.0,403620.0,2.35081
AMGN,4.922966678609811,-54761.0,181693.0,831291.0,1137421.0,153065.0,984356.0,461671.0,675750.0,0.80654
AMP,12.297698998128382,-49869.0,55076.0,189307.0,359985.0,85339.0,274646.0,178510.0,181475.0,1.98076
AMT,-5.437229437229433,-20264.0,2986.0,-5253.0,40815.0,23034.0,17781.0,35375.0,5440.0,0.64176
AMZN,-1.6675796527255784,-449525.0,232429.0,190070.0,1329814.0,569872.0,759942.0,961538.0,368276.0,1.05004
