candidate_last,candidate_first,donation_amount,candidate_won_lost,stock_ticker,stock_price_change,year,opening_price,closing_price,party,chamber,is_democrat,is_senate,is_president
 Shuster, Bill, 41950.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, HOUSE,0,0,0
 Hagan, Kay R, 26450.0, 0, AAL, -1.3541909876254863, 2014, 42.83, 42.25, D, SENATE,1,1,0
 Boehner, John, 25000.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, HOUSE,0,0,0
 Graham, Lindsey, 22000.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, SENATE,0,1,0
 Durbin, Dick, 19550.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, D, SENATE,1,1,0
 McConnell, Mitch, 17250.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, SENATE,0,1,0
 Tillis, Thom, 16050.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, SENATE,0,1,0
 Cornyn, John, 12500.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, SENATE,0,1,0
 Cantor, Eric, 10000.0, 0, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, HOUSE,0,0,0
 Williams, Roger, 9600.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, HOUSE,0,0,0
 Pastor, Ed, 9500.0, 0, AAL, -1.3541909876254863, 2014, 42.83, 42.25, D, HOUSE,1,0,0
 DeFazio, Peter, 9500.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, D, HOUSE,1,0,0
 Hoyer, Steny H, 9000.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, D, HOUSE,1,0,0
 Veasey, Marc, 8750.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, D, HOUSE,1,0,0
 Collins, Susan M, 8500.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, SENATE,0,1,0
 Meehan, Patrick, 8000.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, R, HOUSE,0,0,0
 Sinema, Kyrsten, 7750.0, 1, AAL, -1.3541909876254863, 2014, 42.83, 42.25, D, HOUSE,1,0,0
